hi,slug,peakIndex,peaked,issuesOpenedUpToPeak,demandUpToPeak,commitsUpToPeak,issuesClosedUpToPeak,lastOpen,lastClosed,lastCommit,openedPostLastCommit,downloadsUpTo,archived,starsUpTo,contributorsUpTo,versionsUpTo,age,dead,dateOfPeak,size,downloadsAtPeak,monSinceLastOpIssue,archivedSince,monSinceLastCommOrClosedIssue,monSinceLastComm,monSinceLastClosedIss
0,sboudrias/Inquirer.js,31,TRUE,210,TRUE,186,165,2020-12,2020-11,2015-01,4,33926432,0,16461,379,16,66,FALSE,2016-04,3456,0,0,0,0,1,0
0,visionmedia/debug,-1,FALSE,194,TRUE,191,135,2020-12,2020-12,2015-01,1,672465114,0,10233,209,30,68,FALSE,,425,23,0,0,0,0,0
0,chalk/supports-color,-1,FALSE,48,TRUE,0,42,2020-12,2020-12,2015-01,1,619101342,0,302,60,18,68,FALSE,,125,249658,0,0,1,30,1
0,chalk/ansi-regex,-1,FALSE,4,TRUE,13,2,2019-10,2019-10,2015-01,1,182431590,0,141,21,2,68,FALSE,,55,493191,1,0,1,1,9
0,yargs/yargs,-1,FALSE,527,TRUE,1019,256,2020-12,2020-12,2015-01,1,790404738,0,9829,423,139,68,FALSE,,4854,959370,0,0,0,0,0
0,substack/minimist,-1,FALSE,42,TRUE,20,4,2020-12,2020-03,2015-01,6,1179375626,0,5246,64,4,68,FALSE,,59,917391,2,0,22,31,22
0,stevemao/left-pad,15,TRUE,11,TRUE,7,5,2018-03,2018-04,2015-01,0,14141974,0,1224,20,5,68,FALSE,2016-03,53,350595,0,0,0,0,0
0,moxystudio/node-cross-spawn,-1,FALSE,14,TRUE,0,12,2020-10,2020-04,2015-01,6,14028605,0,962,120,25,68,FALSE,,634,285147,1,0,4,14,4
0,feross/safe-buffer,-1,FALSE,0,FALSE,42,0,2020-05,2020-05,2015-01,1,752,0,323,25,6,58,FALSE,,92,579,14,0,1,1,14
0,sindresorhus/has-flag,-1,FALSE,1,TRUE,7,1,2018-08,2018-08,2015-01,1,749622785,0,82,6,0,63,FALSE,,16,1467552,2,0,2,7,2
0,isaacs/node-lru-cache,-1,FALSE,55,TRUE,108,26,2020-11,2019-01,2015-01,15,929625819,0,4158,160,33,68,FALSE,,1410,2030983,0,0,5,5,5
0,salesforce/tough-cookie,-1,FALSE,68,TRUE,160,49,2020-12,2020-10,2015-01,2,1017086560,0,759,207,17,68,FALSE,,1027,1479414,1,0,0,1,0
0,sindresorhus/read-pkg,-1,FALSE,6,TRUE,26,3,2020-12,2019-05,2015-01,2,887343830,0,138,6,9,61,FALSE,,29,1479441,0,0,0,0,9
0,MoOx/postcss-message-helpers,48,TRUE,0,FALSE,2,0,2015-01,2015-01,2015-01,0,188626678,0,10,9,1,68,FALSE,2019-02,203,420,47,0,46,46,47
0,isaacs/yallist,-1,FALSE,6,TRUE,43,3,2020-11,2019-09,2015-01,4,560602826,0,183,25,13,59,FALSE,,117,1173160,3,0,2,2,2
0,sindresorhus/read-pkg-up,-1,FALSE,4,TRUE,24,3,2019-12,2019-12,2015-01,1,985960172,0,220,6,7,61,FALSE,,30,1033036,1,0,0,0,1
0,mathiasbynens/jsesc,-1,FALSE,24,TRUE,35,12,2020-10,2020-10,2015-01,1,909302821,0,651,85,13,68,FALSE,,269,1789438,2,0,3,4,3
0,ben-eb/colormin,48,TRUE,5,TRUE,50,3,2018-03,2015-08,2015-01,3,184485627,0,7,34,11,68,FALSE,2019-02,36,1783164,10,0,26,26,39
0,sindresorhus/object-assign,-1,FALSE,0,FALSE,31,0,2015-01,2015-01,2015-01,0,1222726628,0,907,43,8,68,FALSE,,40,1256950,47,0,18,18,47
0,sindresorhus/p-locate,-1,FALSE,0,FALSE,8,0,2015-01,2015-01,2015-01,0,361443558,0,66,0,3,49,FALSE,,19,1990695,47,0,7,7,47
0,jonschlinkert/is-extendable,-1,FALSE,0,FALSE,16,0,2015-01,2015-01,2015-01,0,994143851,0,19,4,4,64,FALSE,,20,1096664,51,0,10,10,51
0,facebook/regenerator/tree/master/packages/regenerator-runtime,-1,FALSE,0,FALSE,0,0,2015-01,2015-01,2015-01,0,760602420,0,3665,574,22,68,FALSE,,6558,1636762,51,0,51,51,51
0,substack/node-wordwrap,-1,FALSE,4,TRUE,4,1,2019-03,2018-02,2015-01,1,1557285498,0,143,15,2,68,FALSE,,211,1823275,2,0,15,46,15
0,jonschlinkert/ansi-wrap,12,TRUE,1,TRUE,2,0,2015-05,2015-01,2015-01,1,9830302,0,16,2,1,65,FALSE,2016-01,120,527204,6,0,6,6,11
0,jonschlinkert/fill-range,-1,FALSE,1,TRUE,84,0,2019-04,2019-04,2015-01,1,15447998,0,42,87,17,68,FALSE,,146,409,0,0,0,0,11
0,sindresorhus/parse-json,-1,FALSE,2,TRUE,10,2,2020-10,2020-10,2015-01,1,9291201,0,280,11,5,63,FALSE,,38,1048,3,0,0,0,3
0,sindresorhus/locate-path,-1,FALSE,0,FALSE,0,0,2019-07,2019-07,2015-01,1,0,0,52,0,0,49,FALSE,,25,0,11,0,11,11,11
0,gulpjs/glob-parent,-1,FALSE,9,TRUE,62,5,2019-09,2019-09,2015-01,1,804331120,0,70,15,10,68,FALSE,,84,932552,0,0,0,0,0
0,sindresorhus/get-stream,-1,FALSE,13,TRUE,33,11,2020-12,2020-08,2015-01,1,611240976,0,277,17,10,60,FALSE,,51,1572836,0,0,0,0,2
0,micromatch/micromatch,-1,FALSE,112,TRUE,484,82,2020-09,2020-08,2015-01,2,997383893,0,2162,343,56,68,FALSE,,1217,852988,0,0,0,0,0
0,git@github.com:calvinmetcalf/buffer-shims,28,TRUE,0,FALSE,0,0,2015-01,2015-01,2015-01,0,123344315,0,10,0,1,55,FALSE,2017-06,24,1252154,27,0,27,27,27
0,sindresorhus/strip-bom,-1,FALSE,2,TRUE,6,2,2020-10,2020-10,2015-01,1,217310666,0,96,24,1,68,FALSE,,26,1241996,10,0,10,21,10
0,sindresorhus/globby,-1,FALSE,16,TRUE,58,12,2020-12,2020-08,2015-01,4,101471173,0,2070,49,11,68,FALSE,,162,1828775,0,0,0,0,0
0,sindresorhus/load-json-file,-1,FALSE,3,TRUE,11,3,2017-10,2017-10,2015-01,1,113968095,0,215,10,3,61,FALSE,,30,1243836,6,0,3,12,3
0,sindresorhus/pkg-dir,-1,FALSE,0,FALSE,12,0,2020-02,2015-01,2015-01,1,326648780,0,182,6,3,61,FALSE,,24,1999397,44,0,4,4,44
0,jonschlinkert/is-descriptor,-1,FALSE,3,TRUE,34,1,2020-01,2020-01,2015-01,1,725555407,0,12,19,9,62,FALSE,,30,673889,15,0,4,4,39
0,davepacheco/node-extsprintf,-1,FALSE,5,TRUE,3,2,2017-11,2017-11,2015-01,1,890982564,0,34,5,2,68,FALSE,,26,108559,17,0,17,17,17
0,sindresorhus/p-limit,-1,FALSE,5,TRUE,26,3,2020-12,2020-12,2015-01,1,610330348,0,1001,0,7,50,FALSE,,44,1855802,4,0,0,0,5
0,jonschlinkert/is-accessor-descriptor,-1,FALSE,0,FALSE,32,0,2015-01,2015-01,2015-01,0,774054621,0,13,20,8,62,FALSE,,28,1170162,51,0,5,5,51
0,jonschlinkert/is-data-descriptor,-1,FALSE,0,FALSE,25,0,2015-01,2015-01,2015-01,0,773921189,0,15,19,5,62,FALSE,,22,428416,51,0,5,5,51
0,juliangruber/balanced-match,-1,FALSE,5,TRUE,36,1,2018-04,2018-05,2015-01,0,1275355812,0,104,32,4,68,FALSE,,892,724367,13,0,12,23,12
0,chalk/wrap-ansi,-1,FALSE,12,TRUE,45,9,2020-09,2020-09,2015-01,1,598663490,0,90,19,11,62,FALSE,,78,1777844,14,0,0,0,2
0,calvinmetcalf/process-nextick-args,-1,FALSE,3,TRUE,28,1,2016-03,2015-07,2015-01,3,1100853340,0,30,13,10,65,FALSE,,20,1337617,37,0,17,17,44
0,ahmadnassri/node-har-validator,-1,FALSE,19,TRUE,195,10,2020-08,2020-07,2015-01,2,1179086700,0,57,91,0,67,FALSE,,356,1599252,3,0,3,3,6
0,rvagg/through2,-1,FALSE,46,TRUE,29,29,2019-07,2019-07,2015-01,1,977508181,0,1870,79,10,68,FALSE,,94,1084614,4,0,0,0,4
0,nodeca/js-yaml,-1,FALSE,240,TRUE,221,153,2020-12,2020-12,2015-01,1,1036385135,0,5576,1051,40,68,FALSE,,3769,1640712,0,0,0,0,0
0,jonschlinkert/normalize-path,-1,FALSE,8,TRUE,26,6,2018-11,2018-11,2015-01,1,755008598,0,90,28,5,68,FALSE,,40,615406,6,0,6,6,6
0,Qix-/color-convert,-1,FALSE,26,TRUE,77,14,2020-09,2020-09,2015-01,1,625987931,0,630,65,19,68,FALSE,,152,1349697,0,0,0,3,0
0,jonschlinkert/has-values,-1,FALSE,2,TRUE,21,2,2017-07,2017-07,2015-01,1,683419495,0,23,8,0,67,FALSE,,20,905185,21,0,15,15,21
0,jonschlinkert/has-value,-1,FALSE,3,TRUE,34,2,2018-11,2018-02,2015-01,2,748868739,0,24,15,0,68,FALSE,,33,678635,6,0,14,14,15
0,sindresorhus/globals,-1,FALSE,31,TRUE,195,19,2020-11,2020-12,2015-01,0,601670041,0,246,109,62,68,FALSE,,248,1690390,4,0,1,1,2
0,isaacs/once,-1,FALSE,0,FALSE,9,0,2015-01,2015-01,2015-01,0,918232334,0,207,15,12,68,FALSE,,74,1694553,46,0,27,27,46
0,visionmedia/bytes.js,-1,FALSE,10,TRUE,100,12,2020-07,2020-06,2015-01,2,627533447,0,405,59,11,68,FALSE,,111,1552427,0,0,0,0,0
0,harthur/nomnom,47,TRUE,10,TRUE,1,0,2018-02,2015-01,2015-01,5,97651929,0,473,126,3,68,FALSE,2018-11,424,1462171,8,0,37,37,46
0,sindresorhus/escape-string-regexp,-1,FALSE,5,TRUE,7,5,2020-09,2020-09,2015-01,1,803046078,0,514,8,3,68,FALSE,,20,858105,7,0,7,33,7
0,isaacs/core-util-is,-1,FALSE,6,TRUE,7,4,2019-07,2015-11,2015-01,5,813148816,0,94,16,2,68,FALSE,,88,682010,0,0,35,35,35
0,paulmillr/chokidar,-1,FALSE,452,TRUE,661,346,2020-12,2020-12,2015-01,1,482022157,0,9127,953,38,68,FALSE,,1713,1821726,0,0,0,1,0
0,lydell/js-tokens,-1,FALSE,3,TRUE,58,2,2019-02,2018-07,2015-01,2,573308006,0,319,55,11,68,FALSE,,434,8861,5,0,5,10,5
0,felixge/node-combined-stream,-1,FALSE,12,TRUE,27,10,2019-12,2019-12,2015-01,1,818748827,0,137,46,10,68,FALSE,,44,667965,3,0,3,3,3
0,jshttp/statuses,-1,FALSE,3,TRUE,106,2,2019-12,2020-04,2015-01,0,386906575,0,245,47,5,68,FALSE,,143,1530640,12,0,0,0,12
0,estools/estraverse,-1,FALSE,29,TRUE,63,10,2020-06,2018-01,2015-01,10,393570706,0,867,131,10,68,FALSE,,180,345686,0,0,0,0,0
0,joyent/node-http-signature,-1,FALSE,18,TRUE,31,15,2020-05,2020-09,2015-01,0,437817545,0,394,64,7,68,FALSE,,194,1280803,4,0,5,5,5
0,feross/is-buffer,-1,FALSE,3,TRUE,66,3,2018-03,2018-03,2015-01,1,541100382,0,86,29,13,68,FALSE,,48,839507,7,0,1,1,7
0,justmoon/node-extend,-1,FALSE,12,TRUE,63,7,2020-07,2020-07,2015-01,1,642255250,0,336,145,6,68,FALSE,,128,1890058,12,0,1,1,16
0,mikeal/oauth-sign,-1,FALSE,4,TRUE,23,4,2020-07,2018-08,2015-01,1,802632604,0,59,20,6,68,FALSE,,26,1965700,34,0,4,4,4
0,mafintosh/pump,-1,FALSE,30,TRUE,18,13,2020-04,2019-08,2015-01,4,291921074,0,874,46,5,68,FALSE,,30,1865957,1,0,3,11,3
0,evanw/node-source-map-support,-1,FALSE,91,TRUE,200,30,2020-11,2020-04,2015-01,6,434324988,0,2029,107,38,68,FALSE,,858,749798,0,0,0,0,4
0,sindresorhus/make-dir,-1,FALSE,3,TRUE,15,2,2020-12,2020-08,2015-01,2,204693653,0,453,0,4,43,FALSE,,50,738017,5,0,5,5,5
0,Marak/colors.js,-1,FALSE,88,TRUE,139,60,2020-11,2019-09,2015-01,5,682097781,0,4974,111,17,68,FALSE,,380,739294,0,0,0,1,0
0,micromatch/anymatch,-1,FALSE,11,TRUE,62,7,2020-11,2020-12,2015-01,0,527310370,0,321,96,7,68,FALSE,,90,649574,16,0,12,12,23
0,jonschlinkert/is-extglob,-1,FALSE,1,TRUE,15,1,2016-09,2016-09,2015-01,1,725496003,0,19,1,5,67,FALSE,,16,649005,27,0,24,24,27
0,dougwilson/nodejs-depd,-1,FALSE,10,TRUE,106,8,2020-12,2020-08,2015-01,2,791668073,0,313,83,5,68,FALSE,,191,647320,2,0,2,2,2
0,get/parsejson,34,TRUE,1,TRUE,4,1,2016-07,2016-10,2015-01,0,89935956,0,1,1,1,68,TRUE,2017-12,275,649549,16,0,13,13,13
0,mikeal/tunnel-agent,-1,FALSE,13,TRUE,15,1,2020-01,2015-10,2015-01,16,331723099,0,109,12,5,68,FALSE,,21,52573,3,0,6,6,23
0,mikeal/aws-sign,-1,FALSE,0,FALSE,10,2,2015-01,2016-10,2015-01,0,301762119,0,27,14,1,68,FALSE,,13,1289452,33,0,5,5,11
0,npm/nopt,-1,FALSE,23,TRUE,31,8,2017-04,2016-12,2015-01,3,322733506,0,510,61,7,68,FALSE,,168,623924,5,0,9,9,9
0,Raynos/xtend,-1,FALSE,3,TRUE,15,0,2019-07,2020-08,2015-01,0,848808649,0,304,50,1,68,FALSE,,37,1678177,25,0,6,6,46
0,pillarjs/path-to-regexp,-1,FALSE,86,TRUE,113,55,2020-12,2020-12,2015-01,1,536381837,0,7120,110,26,68,FALSE,,665,666804,0,0,0,2,0
0,octokit/rest.js,10,TRUE,0,FALSE,0,0,2020-12,2020-01,2015-01,9,7125703,0,251,242,1,68,FALSE,2015-10,14773,0,9,0,9,9,9
0,browserslist/browserslist,-1,FALSE,17,TRUE,94,14,2020-12,2020-12,2015-01,1,4211173,0,10832,160,11,68,FALSE,,4376,8644,0,0,0,0,0
0,TrySound/postcss-value-parser,-1,FALSE,7,TRUE,41,3,2020-05,2019-05,2015-01,5,680822,0,120,80,18,62,FALSE,,266,53005,0,0,0,0,0
0,mikeal/caseless,-1,FALSE,5,TRUE,11,4,2019-09,2017-11,2015-01,4,49937124,0,94,37,3,68,FALSE,,23,0,2,0,3,3,3
0,aroneous/stream-consume,45,TRUE,1,TRUE,3,1,2016-12,2018-02,2015-01,0,121871195,0,4,1,1,68,FALSE,2018-11,4,1422553,22,0,8,8,8
0,jonschlinkert/arr-diff,-1,FALSE,4,TRUE,26,3,2018-02,2017-09,2015-01,2,584287946,0,42,27,4,68,FALSE,,56,1842275,8,0,13,13,13
0,sindresorhus/p-try,-1,FALSE,1,TRUE,6,0,2016-11,2015-01,2015-01,1,175755851,0,42,0,2,50,FALSE,,14,1892242,23,0,4,4,44
0,isaacs/sax-js,-1,FALSE,47,TRUE,51,7,2020-07,2020-01,2015-01,2,504682505,0,1006,207,35,68,FALSE,,423,1129721,0,0,14,14,14
0,michael-ciniawsky/postcss-load-plugins,49,TRUE,19,TRUE,151,16,2018-01,2018-07,2015-01,0,131406864,0,20,3,13,67,FALSE,2019-03,92,1764778,13,0,7,12,7
0,sindresorhus/os-locale,-1,FALSE,16,TRUE,49,13,2020-04,2020-04,2015-01,1,729899206,0,207,21,13,67,FALSE,,55,433652,0,0,2,2,2
0,npm/wrappy,-1,FALSE,1,TRUE,10,0,2017-06,2015-01,2015-01,1,830041342,0,57,11,1,68,FALSE,,9,588153,20,0,23,23,48
0,epoberezkin/json-schema-traverse,-1,FALSE,5,TRUE,27,1,2020-02,2018-05,2015-01,4,564758739,0,86,0,7,42,FALSE,,49,388927,2,0,8,8,9
0,michael-ciniawsky/postcss-load-options,49,TRUE,23,TRUE,92,22,2018-04,2018-06,2015-01,0,131339368,0,7,0,11,53,FALSE,2019-03,56,1180994,10,0,8,17,8
0,eslint/doctrine,-1,FALSE,63,TRUE,116,57,2018-10,2018-12,2015-01,0,473475511,0,440,212,26,68,TRUE,,584,389970,2,0,0,0,0
0,meganz/jodid25519,28,TRUE,2,TRUE,15,1,2017-05,2016-01,2015-01,2,133949675,0,33,121,1,60,FALSE,2017-06,1478,491779,0,0,15,15,15
0,webpack/schema-utils,-1,FALSE,6,TRUE,0,1,2020-12,2020-08,2015-01,3,136,0,208,0,3,43,FALSE,,2678,865209,0,0,0,27,0
0,felixge/node-delayed-stream,-1,FALSE,0,FALSE,7,0,2015-01,2015-01,2015-01,0,269339228,0,52,39,2,68,FALSE,,237,53926,27,0,23,23,27
0,sindresorhus/figures,-1,FALSE,6,TRUE,24,4,2019-12,2020-02,2015-01,0,106133851,0,512,35,5,68,FALSE,,86,406170,0,0,0,0,0
0,rmustacc/node-ctype,11,TRUE,1,TRUE,3,0,2018-06,2015-01,2015-01,6,40342851,0,89,34,1,68,FALSE,2015-12,81,6487,1,0,1,1,10
0,sindresorhus/slash,-1,FALSE,0,FALSE,1,0,2020-08,2020-08,2015-01,1,8678213,0,273,14,0,68,FALSE,,19,33969,10,0,8,8,10
0,sindresorhus/strip-json-comments,-1,FALSE,2,TRUE,22,3,2020-07,2020-07,2015-01,1,32446435,0,531,35,3,68,FALSE,,139,1246,0,0,0,0,0
0,micromatch/extglob,-1,FALSE,0,FALSE,29,0,2018-01,2018-01,2015-01,1,8825105,0,28,31,4,68,FALSE,,212,127861,10,0,2,2,10
0,floatdrop/read-all-stream,45,TRUE,2,TRUE,36,2,2015-04,2015-04,2015-01,1,126120647,0,15,38,12,68,FALSE,2018-11,22,1323520,40,0,32,32,40
0,TooTallNate/util-deprecate,-1,FALSE,1,TRUE,2,0,2015-06,2015-01,2015-01,1,645802719,0,37,7,0,68,FALSE,,5,315914,38,0,38,38,44
0,joyent/node-asn1,-1,FALSE,14,TRUE,4,5,2020-08,2018-08,2015-01,4,655864309,0,61,12,2,68,FALSE,,95,583282,0,0,2,3,2
0,micromatch/expand-brackets,-1,FALSE,1,TRUE,87,1,2015-07,2015-07,2015-01,1,565948599,0,25,19,15,68,FALSE,,86,432948,37,0,6,6,37
0,jonschlinkert/is-odd,41,TRUE,0,FALSE,28,0,2015-01,2015-01,2015-01,0,80630313,1,223,1,7,67,FALSE,2018-07,25,935681,40,1,1,1,40
0,kaelzhang/node-ignore,-1,FALSE,24,TRUE,117,12,2020-12,2020-05,2015-01,3,195882885,0,347,5,43,68,FALSE,,256,663714,0,0,0,0,0
0,qix-/node-is-arrayish,-1,FALSE,2,TRUE,24,1,2017-10,2018-10,2015-01,0,315457617,0,14,13,7,62,FALSE,,11,804672,8,0,0,0,32
0,sindresorhus/onetime,-1,FALSE,3,TRUE,12,2,2020-01,2019-01,2015-01,1,295495800,0,140,15,3,68,FALSE,,38,1680374,0,0,15,15,15
0,ForbesLindesay/tar-pack,38,TRUE,13,TRUE,35,6,2017-12,2017-10,2015-01,3,79590363,0,38,29,10,68,FALSE,2018-04,41,1443506,3,0,5,5,5
0,blakeembrey/array-flatten,-1,FALSE,8,TRUE,32,8,2019-12,2019-11,2015-01,1,268839025,0,86,33,6,68,FALSE,,1786,513618,11,0,6,6,14
0,mhart/aws4,-1,FALSE,45,TRUE,57,23,2020-12,2020-11,2015-01,2,264429865,0,621,87,17,68,FALSE,,303,580778,1,0,0,6,0
0,jonschlinkert/array-unique,-1,FALSE,3,TRUE,11,2,2017-06,2017-06,2015-01,1,292053752,0,58,9,3,68,FALSE,,17,560000,9,0,9,20,9
0,adamhalasz/uniqid,38,TRUE,8,TRUE,30,5,2020-01,2019-11,2015-01,2,96913326,0,578,1,6,68,FALSE,2018-04,113,502054,16,0,5,5,14
0,substack/node-concat-map,-1,FALSE,1,TRUE,0,1,2020-07,2015-02,2015-01,4,481099384,0,33,17,0,68,FALSE,,139,856490,35,0,35,37,35
0,nodejs/nan,-1,FALSE,293,TRUE,0,178,2020-12,2020-10,2015-01,2,319678435,0,3086,810,41,68,FALSE,,2115,820340,0,0,0,37,0
0,fb55/domelementtype,-1,FALSE,1,TRUE,5,2,2019-11,2020-09,2015-01,0,368215829,0,22,11,2,68,FALSE,,102,555813,30,0,2,30,2
0,3rd-Eden/one-time,6,TRUE,0,FALSE,12,0,2017-05,2018-02,2015-01,0,157879,0,8,30,2,68,FALSE,2015-06,39,693443,5,0,2,2,5
0,browserify/node-util,-1,FALSE,0,FALSE,0,0,2020-12,2020-07,2015-01,5,4460048,0,201,24,0,68,FALSE,,238,0,5,0,5,5,5
0,sindresorhus/callsites,-1,FALSE,0,FALSE,1,0,2019-06,2018-11,2015-01,2,70874,0,221,11,0,68,FALSE,,23,259075,5,0,3,3,5
0,npm/inflight,-1,FALSE,0,FALSE,1,0,2017-12,2016-10,2015-01,1,15043175,0,62,17,0,68,FALSE,,200,0,5,0,0,0,5
0,mongodb-js/mongodb-core,45,TRUE,0,FALSE,1342,0,2015-01,2015-01,2015-01,0,82397863,0,192,622,134,68,FALSE,2018-11,6093,481653,44,0,0,0,44
0,jshttp/cookie,-1,FALSE,27,TRUE,111,20,2020-12,2020-12,2015-01,1,533629960,0,1028,81,25,68,FALSE,,206,1136040,3,0,2,2,3
0,sindresorhus/path-is-absolute,-1,FALSE,0,FALSE,10,0,2015-01,2015-01,2015-01,0,626158271,0,39,2,3,68,FALSE,,7,466578,44,0,16,16,44
0,sindresorhus/is-stream,-1,FALSE,6,TRUE,10,2,2018-10,2019-04,2015-01,0,381559283,0,104,11,2,68,FALSE,,21,513031,0,0,19,19,19
0,robrich/orchestrator,45,TRUE,15,TRUE,5,1,2017-05,2015-02,2015-01,10,104374381,0,1227,67,1,68,FALSE,2018-11,216,453229,17,0,23,23,42
0,alexei/sprintf.js,-1,FALSE,57,TRUE,142,12,2020-07,2020-05,2015-01,3,440192669,0,2004,125,3,68,FALSE,,250,683191,2,0,4,7,4
0,postcss/postcss-selector-parser,-1,FALSE,79,TRUE,288,49,2020-11,2020-09,2015-01,2,177361562,0,180,125,36,65,FALSE,,1086,344797,0,0,0,0,3
0,joyent/node-sshpk,-1,FALSE,46,TRUE,198,9,2020-05,2019-01,2015-01,5,485466559,0,164,172,30,61,FALSE,,380,525172,0,0,0,1,0
